set;clf_name;selector_name;n_features;accuracy
sets;adaboost;rfe;131;0.36585365853658536
sets;adaboost;rfe;130;0.36585365853658536
sets;adaboost;rfe;129;0.36585365853658536
sets;adaboost;rfe;128;0.36585365853658536
sets;adaboost;rfe;127;0.36585365853658536
sets;adaboost;rfe;126;0.36585365853658536
sets;adaboost;rfe;125;0.36585365853658536
sets;adaboost;rfe;124;0.36585365853658536
sets;adaboost;rfe;123;0.36585365853658536
sets;adaboost;rfe;122;0.36585365853658536
sets;adaboost;rfe;121;0.36585365853658536
sets;adaboost;rfe;120;0.36585365853658536
sets;adaboost;rfe;119;0.36585365853658536
sets;adaboost;rfe;118;0.36585365853658536
sets;adaboost;rfe;117;0.36585365853658536
sets;adaboost;rfe;116;0.36585365853658536
sets;adaboost;rfe;115;0.36585365853658536
sets;adaboost;rfe;114;0.36585365853658536
sets;adaboost;rfe;113;0.36585365853658536
sets;adaboost;rfe;112;0.36585365853658536
sets;adaboost;rfe;111;0.36585365853658536
sets;adaboost;rfe;110;0.36585365853658536
sets;adaboost;rfe;109;0.36585365853658536
sets;adaboost;rfe;108;0.36585365853658536
sets;adaboost;rfe;107;0.36585365853658536
sets;adaboost;rfe;106;0.36585365853658536
sets;adaboost;rfe;105;0.36585365853658536
sets;adaboost;rfe;104;0.36585365853658536
sets;adaboost;rfe;103;0.36585365853658536
sets;adaboost;rfe;102;0.36585365853658536
sets;adaboost;rfe;101;0.36585365853658536
sets;adaboost;rfe;100;0.36585365853658536
sets;adaboost;rfe;99;0.36585365853658536
sets;adaboost;rfe;98;0.36585365853658536
sets;adaboost;rfe;97;0.36585365853658536
sets;adaboost;rfe;96;0.36585365853658536
sets;adaboost;rfe;95;0.36585365853658536
sets;adaboost;rfe;94;0.36585365853658536
sets;adaboost;rfe;93;0.36585365853658536
sets;adaboost;rfe;92;0.36585365853658536
sets;adaboost;rfe;91;0.36585365853658536
sets;adaboost;rfe;90;0.36585365853658536
sets;adaboost;rfe;89;0.36585365853658536
sets;adaboost;rfe;88;0.36585365853658536
sets;adaboost;rfe;87;0.36585365853658536
sets;adaboost;rfe;86;0.36585365853658536
sets;adaboost;rfe;85;0.36585365853658536
sets;adaboost;rfe;84;0.36585365853658536
sets;adaboost;rfe;83;0.36585365853658536
sets;adaboost;rfe;82;0.36585365853658536
sets;adaboost;rfe;81;0.36585365853658536
sets;adaboost;rfe;80;0.36585365853658536
sets;bagging;rfe;132;0.8536585365853658
sets;extratreeS;rfe;132;0.926829268292683
sets;extratreeS;rfe;131;0.8780487804878049
sets;extratreeS;rfe;130;0.9024390243902439
sets;extratreeS;rfe;129;0.9024390243902439
sets;extratreeS;rfe;128;0.8780487804878049
sets;extratreeS;rfe;127;0.8780487804878049
sets;extratreeS;rfe;126;0.9024390243902439
sets;extratreeS;rfe;125;1.0
sets;extratreeS;rfe;124;0.8292682926829268
sets;extratreeS;rfe;123;0.8780487804878049
sets;extratreeS;rfe;122;0.9024390243902439
sets;extratreeS;rfe;121;0.8780487804878049
sets;extratreeS;rfe;120;0.8292682926829268
sets;extratreeS;rfe;119;0.9024390243902439
sets;extratreeS;rfe;118;0.8292682926829268
sets;extratreeS;rfe;117;0.9512195121951219
sets;extratreeS;rfe;116;0.9024390243902439
sets;extratreeS;rfe;115;0.975609756097561
sets;extratreeS;rfe;114;0.8536585365853658
sets;extratreeS;rfe;113;0.8536585365853658
sets;extratreeS;rfe;112;0.8780487804878049
sets;extratreeS;rfe;111;0.9512195121951219
sets;extratreeS;rfe;110;0.8292682926829268
sets;extratreeS;rfe;109;0.975609756097561
sets;extratreeS;rfe;108;0.8536585365853658
sets;extratreeS;rfe;107;0.926829268292683
sets;extratreeS;rfe;106;0.8780487804878049
sets;extratreeS;rfe;105;0.9024390243902439
sets;extratreeS;rfe;104;0.9024390243902439
sets;extratreeS;rfe;103;0.8780487804878049
sets;extratreeS;rfe;102;0.926829268292683
sets;extratreeS;rfe;101;0.8780487804878049
sets;extratreeS;rfe;100;0.8780487804878049
sets;extratreeS;rfe;99;0.975609756097561
sets;extratreeS;rfe;98;0.8536585365853658
sets;extratreeS;rfe;97;0.8780487804878049
sets;extratreeS;rfe;96;0.9024390243902439
sets;extratreeS;rfe;95;0.926829268292683
sets;extratreeS;rfe;94;0.8780487804878049
sets;extratreeS;rfe;93;0.8780487804878049
sets;extratreeS;rfe;92;0.8780487804878049
sets;extratreeS;rfe;91;0.8780487804878049
sets;extratreeS;rfe;90;0.8780487804878049
sets;extratreeS;rfe;89;0.8780487804878049
sets;extratreeS;rfe;88;0.9024390243902439
sets;extratreeS;rfe;87;0.8780487804878049
sets;extratreeS;rfe;86;0.8292682926829268
sets;extratreeS;rfe;85;0.9024390243902439
sets;extratreeS;rfe;84;0.975609756097561
sets;extratreeS;rfe;83;0.8536585365853658
sets;extratreeS;rfe;82;0.8780487804878049
sets;extratreeS;rfe;81;0.7804878048780488
sets;extratreeS;rfe;80;0.8536585365853658
sets;gradientboost;rfe;132;0.8780487804878049
sets;gradientboost;rfe;131;0.8780487804878049
sets;gradientboost;rfe;130;0.8780487804878049
sets;gradientboost;rfe;129;0.8780487804878049
sets;gradientboost;rfe;128;0.8780487804878049
sets;gradientboost;rfe;127;0.9024390243902439
sets;gradientboost;rfe;126;0.8780487804878049
